Well,Row,Column,Time.pt,time,NumNuclei,l2,nl2,exptDate,cellLine,drug,conc,UID
B10,B,10,6,64,237,7.888743249,-0.171952683,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
B10,B,10,7,72,251,7.971543554,-0.089152378,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
B10,B,10,8,85,206,7.686500527,-0.374195405,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
B10,B,10,9,97,182,7.50779464,-0.552901291,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
B11,B,11,1,0,327,8.353146825,0,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
B11,B,11,2,17,382,8.577428828,0.224282003,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
B11,B,11,3,24,386,8.592457037,0.239310212,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
B11,B,11,4,42,243,7.924812504,-0.428334322,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
B11,B,11,5,49,216,7.754887502,-0.598259323,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
B11,B,11,6,64,232,7.857980995,-0.49516583,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
B11,B,11,7,72,214,7.741466986,-0.611679839,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
B11,B,11,8,85,230,7.845490051,-0.507656775,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
B11,B,11,9,97,247,7.948367232,-0.404779594,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
C02,C,2,1,0,354,8.46760555,0,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
C02,C,2,2,17,639,9.319672121,0.852066571,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
C02,C,2,3,24,778,9.603626345,1.136020795,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
C02,C,2,4,42,1429,10.4807902,2.013184651,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
C02,C,2,5,49,1763,10.78381676,2.316211209,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
C02,C,2,6,64,2860,11.48179943,3.014193882,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
C02,C,2,7,72,3761,11.87690059,3.409295041,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
C02,C,2,8,85,5263,12.36166968,3.894064129,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
C02,C,2,9,97,6283,12.61723786,4.149632315,9/1/13,MDAMB231,phen,0,2013-09-01_MDAMB231_phen
C03,C,3,1,0,372,8.539158811,0,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
C03,C,3,2,17,659,9.364134655,0.824975844,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
C03,C,3,3,24,806,9.654636029,1.115477217,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
C03,C,3,4,42,1519,10.56890615,2.029747343,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
C03,C,3,5,49,1838,10.84392105,2.30476224,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
C03,C,3,6,64,3000,11.55074679,3.011587974,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
C03,C,3,7,72,3788,11.88722062,3.348061804,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
C03,C,3,8,85,5155,12.33175671,3.792597901,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
C03,C,3,9,97,6275,12.61539974,4.076240933,9/1/13,MDAMB231,phen,1.53E-07,2013-09-01_MDAMB231_phen
C04,C,4,1,0,386,8.592457037,0,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
C04,C,4,2,17,685,9.419960178,0.827503141,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
C04,C,4,3,24,831,9.698704667,1.10624763,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
C04,C,4,4,42,1485,10.53624722,1.943790178,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
C04,C,4,5,49,1878,10.87498135,2.28252431,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
C04,C,4,6,64,3001,11.5512276,2.958770566,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
C04,C,4,7,72,3864,11.91587938,3.323422342,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
C04,C,4,8,85,5192,12.34207467,3.749617631,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
C04,C,4,9,97,6400,12.64385619,4.051399153,9/1/13,MDAMB231,phen,6.10E-07,2013-09-01_MDAMB231_phen
C05,C,5,1,0,293,8.194756854,0,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
C05,C,5,2,17,533,9.057991723,0.863234868,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
C05,C,5,3,24,635,9.310612782,1.115855927,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
C05,C,5,4,42,1136,10.14974712,1.954990265,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
C05,C,5,5,49,1442,10.49385545,2.299098595,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
C05,C,5,6,64,2260,11.14210706,2.947350203,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
C05,C,5,7,72,2912,11.50779464,3.313037786,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
C05,C,5,8,85,4045,11.98192399,3.787167133,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
C05,C,5,9,97,5280,12.36632221,4.17156536,9/1/13,MDAMB231,phen,2.44E-06,2013-09-01_MDAMB231_phen
C06,C,6,1,0,394,8.622051819,0,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
C06,C,6,2,17,625,9.28771238,0.66566056,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
C06,C,6,3,24,744,9.539158811,0.917106992,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
C06,C,6,4,42,1084,10.08214904,1.460097222,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
C06,C,6,5,49,1304,10.34872815,1.726676335,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
C06,C,6,6,64,1822,10.83130724,2.209255424,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
C06,C,6,7,72,2255,11.13891172,2.516859899,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
C06,C,6,8,85,3070,11.58402294,2.961971121,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
C06,C,6,9,97,4026,11.97513146,3.353079637,9/1/13,MDAMB231,phen,9.77E-06,2013-09-01_MDAMB231_phen
C07,C,7,1,0,276,8.108524457,0,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
C07,C,7,2,17,416,8.700439718,0.591915261,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
C07,C,7,3,24,436,8.768184325,0.659659868,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
C07,C,7,4,42,450,8.813781191,0.705256734,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
C07,C,7,5,49,474,8.888743249,0.780218792,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
C07,C,7,6,64,494,8.948367232,0.839842775,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
C07,C,7,7,72,551,9.105908509,0.997384052,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
C07,C,7,8,85,604,9.238404739,1.129880283,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
C07,C,7,9,97,666,9.379378367,1.27085391,9/1/13,MDAMB231,phen,3.91E-05,2013-09-01_MDAMB231_phen
C08,C,8,1,0,346,8.434628228,0,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
C08,C,8,2,17,480,8.906890596,0.472262368,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
C08,C,8,3,24,502,8.971543554,0.536915326,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
C08,C,8,4,42,535,9.063395081,0.628766854,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
C08,C,8,5,49,546,9.092757141,0.658128913,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
C08,C,8,6,64,567,9.147204925,0.712576697,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
C08,C,8,7,72,570,9.154818109,0.720189881,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
C08,C,8,8,85,613,9.259743264,0.825115036,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
C08,C,8,9,97,652,9.348728154,0.914099927,9/1/13,MDAMB231,phen,0.000156,2013-09-01_MDAMB231_phen
C09,C,9,1,0,299,8.224001674,0,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
C09,C,9,2,17,388,8.599912842,0.375911168,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
C09,C,9,3,24,405,8.661778098,0.437776424,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
C09,C,9,4,42,428,8.741466986,0.517465312,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
C09,C,9,5,49,412,8.686500527,0.462498853,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
C09,C,9,6,64,422,8.721099189,0.497097515,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
C09,C,9,7,72,422,8.721099189,0.497097515,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
C09,C,9,8,85,406,8.665335917,0.441334243,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
C09,C,9,9,97,417,8.703903573,0.479901899,9/1/13,MDAMB231,phen,0.000625,2013-09-01_MDAMB231_phen
C10,C,10,1,0,327,8.353146825,0,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
C10,C,10,2,17,390,8.607330314,0.254183488,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
C10,C,10,3,24,393,8.618385502,0.265238677,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
C10,C,10,4,42,384,8.584962501,0.231815675,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
C10,C,10,5,49,340,8.409390936,0.056244111,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
C10,C,10,6,64,291,8.184875343,-0.168271483,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
C10,C,10,7,72,282,8.139551352,-0.213595473,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
C10,C,10,8,85,264,8.044394119,-0.308752706,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
C10,C,10,9,97,195,7.607330314,-0.745816512,9/1/13,MDAMB231,phen,0.0025,2013-09-01_MDAMB231_phen
C11,C,11,1,0,205,7.6794801,0,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
C11,C,11,2,17,282,8.139551352,0.460071253,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
C11,C,11,3,24,278,8.118941073,0.439460973,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
C11,C,11,4,42,264,8.044394119,0.36491402,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
C11,C,11,5,49,234,7.87036472,0.19088462,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
C11,C,11,6,64,247,7.948367232,0.268887132,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
C11,C,11,7,72,249,7.960001932,0.280521833,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
C11,C,11,8,85,270,8.076815597,0.397335498,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
C11,C,11,9,97,181,7.499845887,-0.179634212,9/1/13,MDAMB231,phen,0.01,2013-09-01_MDAMB231_phen
D02,D,2,1,0,305,8.252665432,0,9/1/13,MDAMB231,rot,0,2013-09-01_MDAMB231_rot
D02,D,2,2,17,521,9.025139562,0.77247413,9/1/13,MDAMB231,rot,0,2013-09-01_MDAMB231_rot
D02,D,2,3,24,640,9.321928095,1.069262662,9/1/13,MDAMB231,rot,0,2013-09-01_MDAMB231_rot
D02,D,2,4,42,1120,10.12928302,1.876617584,9/1/13,MDAMB231,rot,0,2013-09-01_MDAMB231_rot
D02,D,2,5,49,1320,10.36632221,2.113656782,9/1/13,MDAMB231,rot,0,2013-09-01_MDAMB231_rot
D02,D,2,6,64,2210,11.10983065,2.857165222,9/1/13,MDAMB231,rot,0,2013-09-01_MDAMB231_rot
D02,D,2,7,72,2849,11.47623991,3.223574474,9/1/13,MDAMB231,rot,0,2013-09-01_MDAMB231_rot
D02,D,2,8,85,4085,11.99612036,3.743454931,9/1/13,MDAMB231,rot,0,2013-09-01_MDAMB231_rot
D02,D,2,9,97,5473,12.41811614,4.165450709,9/1/13,MDAMB231,rot,0,2013-09-01_MDAMB231_rot
D03,D,3,1,0,333,8.379378367,0,9/1/13,MDAMB231,rot,2.44E-10,2013-09-01_MDAMB231_rot
D03,D,3,2,17,620,9.276124405,0.896746038,9/1/13,MDAMB231,rot,2.44E-10,2013-09-01_MDAMB231_rot
D03,D,3,3,24,764,9.577428828,1.198050461,9/1/13,MDAMB231,rot,2.44E-10,2013-09-01_MDAMB231_rot
D03,D,3,4,42,1391,10.4419067,2.062528337,9/1/13,MDAMB231,rot,2.44E-10,2013-09-01_MDAMB231_rot
D03,D,3,5,49,1706,10.73640193,2.357023564,9/1/13,MDAMB231,rot,2.44E-10,2013-09-01_MDAMB231_rot
D03,D,3,6,64,2772,11.43671154,3.057333175,9/1/13,MDAMB231,rot,2.44E-10,2013-09-01_MDAMB231_rot
D03,D,3,7,72,3595,11.81177606,3.432397688,9/1/13,MDAMB231,rot,2.44E-10,2013-09-01_MDAMB231_rot
D03,D,3,8,85,5076,12.30947635,3.930097987,9/1/13,MDAMB231,rot,2.44E-10,2013-09-01_MDAMB231_rot
D03,D,3,9,97,6292,12.61930296,4.239924588,9/1/13,MDAMB231,rot,2.44E-10,2013-09-01_MDAMB231_rot
D04,D,4,1,0,263,8.038918989,0,9/1/13,MDAMB231,rot,9.77E-10,2013-09-01_MDAMB231_rot
D04,D,4,2,17,454,8.826548487,0.787629498,9/1/13,MDAMB231,rot,9.77E-10,2013-09-01_MDAMB231_rot
D04,D,4,3,24,525,9.036173613,0.997254623,9/1/13,MDAMB231,rot,9.77E-10,2013-09-01_MDAMB231_rot
D04,D,4,4,42,919,9.843921051,1.805002062,9/1/13,MDAMB231,rot,9.77E-10,2013-09-01_MDAMB231_rot
D04,D,4,5,49,1144,10.15987134,2.120952347,9/1/13,MDAMB231,rot,9.77E-10,2013-09-01_MDAMB231_rot
D04,D,4,6,64,1850,10.85330956,2.814390566,9/1/13,MDAMB231,rot,9.77E-10,2013-09-01_MDAMB231_rot
D04,D,4,7,72,2351,11.19905882,3.160139834,9/1/13,MDAMB231,rot,9.77E-10,2013-09-01_MDAMB231_rot
D04,D,4,8,85,3532,11.78626963,3.747350638,9/1/13,MDAMB231,rot,9.77E-10,2013-09-01_MDAMB231_rot
D04,D,4,9,97,4554,12.15291858,4.113999587,9/1/13,MDAMB231,rot,9.77E-10,2013-09-01_MDAMB231_rot
D05,D,5,1,0,240,7.906890596,0,9/1/13,MDAMB231,rot,3.91E-09,2013-09-01_MDAMB231_rot
D05,D,5,2,17,392,8.614709844,0.707819249,9/1/13,MDAMB231,rot,3.91E-09,2013-09-01_MDAMB231_rot
D05,D,5,3,24,468,8.87036472,0.963474124,9/1/13,MDAMB231,rot,3.91E-09,2013-09-01_MDAMB231_rot
D05,D,5,4,42,620,9.276124405,1.36923381,9/1/13,MDAMB231,rot,3.91E-09,2013-09-01_MDAMB231_rot
D05,D,5,5,49,727,9.505811554,1.598920958,9/1/13,MDAMB231,rot,3.91E-09,2013-09-01_MDAMB231_rot
D05,D,5,6,64,1074,10.06877828,2.161887682,9/1/13,MDAMB231,rot,3.91E-09,2013-09-01_MDAMB231_rot
D05,D,5,7,72,1301,10.34540525,2.438514651,9/1/13,MDAMB231,rot,3.91E-09,2013-09-01_MDAMB231_rot
D05,D,5,8,85,1835,10.84156435,2.934673752,9/1/13,MDAMB231,rot,3.91E-09,2013-09-01_MDAMB231_rot
D05,D,5,9,97,2466,11.26795708,3.361066489,9/1/13,MDAMB231,rot,3.91E-09,2013-09-01_MDAMB231_rot
D06,D,6,1,0,236,7.882643049,0,9/1/13,MDAMB231,rot,1.56E-08,2013-09-01_MDAMB231_rot
D06,D,6,2,17,356,8.475733431,0.593090382,9/1/13,MDAMB231,rot,1.56E-08,2013-09-01_MDAMB231_rot
D06,D,6,3,24,360,8.491853096,0.609210047,9/1/13,MDAMB231,rot,1.56E-08,2013-09-01_MDAMB231_rot
