Expt,Well,Subline,Time_h,Cell.count,Condition,FUCCI.cells,UID,l2,cc,nl2
X20120612,G06,DS5,14.07,67,Erlotinib,12,DS5_X20120612_Erlotinib_G06,6.06608919,DS5_Erlotinib,1.06608919
X20120612,G06,DS5,15.075,67,Erlotinib,8,DS5_X20120612_Erlotinib_G06,6.06608919,DS5_Erlotinib,1.06608919
X20120612,G06,DS5,16.08,69,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.108524457,DS5_Erlotinib,1.108524457
X20120612,G06,DS5,17.085,72,Erlotinib,7,DS5_X20120612_Erlotinib_G06,6.169925001,DS5_Erlotinib,1.169925001
X20120612,G06,DS5,18.09,75,Erlotinib,6,DS5_X20120612_Erlotinib_G06,6.22881869,DS5_Erlotinib,1.22881869
X20120612,G06,DS5,19.095,76,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.247927513,DS5_Erlotinib,1.247927513
X20120612,G06,DS5,20.1,75,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.22881869,DS5_Erlotinib,1.22881869
X20120612,G06,DS5,21.105,75,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.22881869,DS5_Erlotinib,1.22881869
X20120612,G06,DS5,22.11,78,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.285402219,DS5_Erlotinib,1.285402219
X20120612,G06,DS5,23.115,81,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.339850003,DS5_Erlotinib,1.339850003
X20120612,G06,DS5,24.12,79,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.303780748,DS5_Erlotinib,1.303780748
X20120612,G06,DS5,25.125,82,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.357552005,DS5_Erlotinib,1.357552005
X20120612,G06,DS5,26.13,83,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.375039431,DS5_Erlotinib,1.375039431
X20120612,G06,DS5,27.135,84,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.392317423,DS5_Erlotinib,1.392317423
X20120612,G06,DS5,28.14,91,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.50779464,DS5_Erlotinib,1.50779464
X20120612,G06,DS5,29.145,90,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.491853096,DS5_Erlotinib,1.491853096
X20120612,G06,DS5,30.15,90,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.491853096,DS5_Erlotinib,1.491853096
X20120612,G06,DS5,31.155,90,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.491853096,DS5_Erlotinib,1.491853096
X20120612,G06,DS5,32.16,91,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.50779464,DS5_Erlotinib,1.50779464
X20120612,G06,DS5,33.165,88,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.459431619,DS5_Erlotinib,1.459431619
X20120612,G06,DS5,34.17,90,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.491853096,DS5_Erlotinib,1.491853096
X20120612,G06,DS5,35.175,91,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.50779464,DS5_Erlotinib,1.50779464
X20120612,G06,DS5,36.18,92,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.523561956,DS5_Erlotinib,1.523561956
X20120612,G06,DS5,37.185,92,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.523561956,DS5_Erlotinib,1.523561956
X20120612,G06,DS5,38.19,92,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.523561956,DS5_Erlotinib,1.523561956
X20120612,G06,DS5,39.195,92,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.523561956,DS5_Erlotinib,1.523561956
X20120612,G06,DS5,40.2,90,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.491853096,DS5_Erlotinib,1.491853096
X20120612,G06,DS5,41.205,90,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.491853096,DS5_Erlotinib,1.491853096
X20120612,G06,DS5,42.21,90,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.491853096,DS5_Erlotinib,1.491853096
X20120612,G06,DS5,43.215,90,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.491853096,DS5_Erlotinib,1.491853096
X20120612,G06,DS5,44.22,91,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.50779464,DS5_Erlotinib,1.50779464
X20120612,G06,DS5,45.22499999,90,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.491853096,DS5_Erlotinib,1.491853096
X20120612,G06,DS5,46.22999999,94,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.554588852,DS5_Erlotinib,1.554588852
X20120612,G06,DS5,47.23499999,93,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.539158811,DS5_Erlotinib,1.539158811
X20120612,G06,DS5,48.23999999,91,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.50779464,DS5_Erlotinib,1.50779464
X20120612,G06,DS5,49.24499999,93,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.539158811,DS5_Erlotinib,1.539158811
X20120612,G06,DS5,50.24999999,91,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.50779464,DS5_Erlotinib,1.50779464
X20120612,G06,DS5,51.25499999,93,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.539158811,DS5_Erlotinib,1.539158811
X20120612,G06,DS5,52.25999999,92,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.523561956,DS5_Erlotinib,1.523561956
X20120612,G06,DS5,53.26499999,95,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,54.26999999,91,Erlotinib,7,DS5_X20120612_Erlotinib_G06,6.50779464,DS5_Erlotinib,1.50779464
X20120612,G06,DS5,55.27499999,96,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.584962501,DS5_Erlotinib,1.584962501
X20120612,G06,DS5,56.27999999,95,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,57.28499999,95,Erlotinib,6,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,58.28999999,96,Erlotinib,9,DS5_X20120612_Erlotinib_G06,6.584962501,DS5_Erlotinib,1.584962501
X20120612,G06,DS5,59.29499999,98,Erlotinib,7,DS5_X20120612_Erlotinib_G06,6.614709844,DS5_Erlotinib,1.614709844
X20120612,G06,DS5,60.29999999,98,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.614709844,DS5_Erlotinib,1.614709844
X20120612,G06,DS5,61.30499999,95,Erlotinib,7,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,62.30999999,96,Erlotinib,9,DS5_X20120612_Erlotinib_G06,6.584962501,DS5_Erlotinib,1.584962501
X20120612,G06,DS5,63.31499999,94,Erlotinib,8,DS5_X20120612_Erlotinib_G06,6.554588852,DS5_Erlotinib,1.554588852
X20120612,G06,DS5,64.31999999,95,Erlotinib,9,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,65.32499999,95,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,66.32999999,96,Erlotinib,6,DS5_X20120612_Erlotinib_G06,6.584962501,DS5_Erlotinib,1.584962501
X20120612,G06,DS5,67.33499999,95,Erlotinib,7,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,68.33999999,93,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.539158811,DS5_Erlotinib,1.539158811
X20120612,G06,DS5,69.34499999,89,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.475733431,DS5_Erlotinib,1.475733431
X20120612,G06,DS5,70.34999999,83,Erlotinib,13,DS5_X20120612_Erlotinib_G06,6.375039431,DS5_Erlotinib,1.375039431
X20120612,G06,DS5,71.35499999,95,Erlotinib,7,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,72.35999999,97,Erlotinib,11,DS5_X20120612_Erlotinib_G06,6.599912842,DS5_Erlotinib,1.599912842
X20120612,G06,DS5,73.36499999,92,Erlotinib,9,DS5_X20120612_Erlotinib_G06,6.523561956,DS5_Erlotinib,1.523561956
X20120612,G06,DS5,74.36999999,94,Erlotinib,8,DS5_X20120612_Erlotinib_G06,6.554588852,DS5_Erlotinib,1.554588852
X20120612,G06,DS5,75.37499999,94,Erlotinib,6,DS5_X20120612_Erlotinib_G06,6.554588852,DS5_Erlotinib,1.554588852
X20120612,G06,DS5,76.37999999,95,Erlotinib,9,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,77.38499999,100,Erlotinib,8,DS5_X20120612_Erlotinib_G06,6.64385619,DS5_Erlotinib,1.64385619
X20120612,G06,DS5,78.38999999,93,Erlotinib,9,DS5_X20120612_Erlotinib_G06,6.539158811,DS5_Erlotinib,1.539158811
X20120612,G06,DS5,79.39499999,94,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.554588852,DS5_Erlotinib,1.554588852
X20120612,G06,DS5,80.39999999,100,Erlotinib,6,DS5_X20120612_Erlotinib_G06,6.64385619,DS5_Erlotinib,1.64385619
X20120612,G06,DS5,81.40499999,96,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.584962501,DS5_Erlotinib,1.584962501
X20120612,G06,DS5,82.40999999,97,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.599912842,DS5_Erlotinib,1.599912842
X20120612,G06,DS5,83.41499999,101,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.658211483,DS5_Erlotinib,1.658211483
X20120612,G06,DS5,84.41999999,100,Erlotinib,8,DS5_X20120612_Erlotinib_G06,6.64385619,DS5_Erlotinib,1.64385619
X20120612,G06,DS5,85.42499999,95,Erlotinib,6,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,86.42999999,99,Erlotinib,7,DS5_X20120612_Erlotinib_G06,6.62935662,DS5_Erlotinib,1.62935662
X20120612,G06,DS5,87.43499999,93,Erlotinib,7,DS5_X20120612_Erlotinib_G06,6.539158811,DS5_Erlotinib,1.539158811
X20120612,G06,DS5,88.43999999,97,Erlotinib,9,DS5_X20120612_Erlotinib_G06,6.599912842,DS5_Erlotinib,1.599912842
X20120612,G06,DS5,89.44499999,100,Erlotinib,13,DS5_X20120612_Erlotinib_G06,6.64385619,DS5_Erlotinib,1.64385619
X20120612,G06,DS5,90.44999999,95,Erlotinib,12,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,91.45499999,96,Erlotinib,11,DS5_X20120612_Erlotinib_G06,6.584962501,DS5_Erlotinib,1.584962501
X20120612,G06,DS5,92.45999999,94,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.554588852,DS5_Erlotinib,1.554588852
X20120612,G06,DS5,93.46499999,94,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.554588852,DS5_Erlotinib,1.554588852
X20120612,G06,DS5,94.46999999,95,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,95.47499999,96,Erlotinib,6,DS5_X20120612_Erlotinib_G06,6.584962501,DS5_Erlotinib,1.584962501
X20120612,G06,DS5,96.47999999,95,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,97.48499999,97,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.599912842,DS5_Erlotinib,1.599912842
X20120612,G06,DS5,98.48999999,96,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.584962501,DS5_Erlotinib,1.584962501
X20120612,G06,DS5,99.49499999,91,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.50779464,DS5_Erlotinib,1.50779464
X20120612,G06,DS5,100.5,97,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.599912842,DS5_Erlotinib,1.599912842
X20120612,G06,DS5,101.505,102,Erlotinib,0,DS5_X20120612_Erlotinib_G06,6.672425342,DS5_Erlotinib,1.672425342
X20120612,G06,DS5,102.51,98,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.614709844,DS5_Erlotinib,1.614709844
X20120612,G06,DS5,103.515,98,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.614709844,DS5_Erlotinib,1.614709844
X20120612,G06,DS5,104.52,101,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.658211483,DS5_Erlotinib,1.658211483
X20120612,G06,DS5,105.525,104,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.700439718,DS5_Erlotinib,1.700439718
X20120612,G06,DS5,106.53,102,Erlotinib,6,DS5_X20120612_Erlotinib_G06,6.672425342,DS5_Erlotinib,1.672425342
X20120612,G06,DS5,107.535,97,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.599912842,DS5_Erlotinib,1.599912842
X20120612,G06,DS5,108.54,101,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.658211483,DS5_Erlotinib,1.658211483
X20120612,G06,DS5,109.545,105,Erlotinib,4,DS5_X20120612_Erlotinib_G06,6.714245518,DS5_Erlotinib,1.714245518
X20120612,G06,DS5,110.55,96,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.584962501,DS5_Erlotinib,1.584962501
X20120612,G06,DS5,111.555,102,Erlotinib,0,DS5_X20120612_Erlotinib_G06,6.672425342,DS5_Erlotinib,1.672425342
X20120612,G06,DS5,112.56,93,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.539158811,DS5_Erlotinib,1.539158811
X20120612,G06,DS5,113.565,100,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.64385619,DS5_Erlotinib,1.64385619
X20120612,G06,DS5,114.57,97,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.599912842,DS5_Erlotinib,1.599912842
X20120612,G06,DS5,115.575,101,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.658211483,DS5_Erlotinib,1.658211483
X20120612,G06,DS5,116.58,100,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.64385619,DS5_Erlotinib,1.64385619
X20120612,G06,DS5,117.585,102,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.672425342,DS5_Erlotinib,1.672425342
X20120612,G06,DS5,118.59,102,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.672425342,DS5_Erlotinib,1.672425342
X20120612,G06,DS5,119.595,102,Erlotinib,0,DS5_X20120612_Erlotinib_G06,6.672425342,DS5_Erlotinib,1.672425342
X20120612,G06,DS5,120.6,97,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.599912842,DS5_Erlotinib,1.599912842
X20120612,G06,DS5,121.605,92,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.523561956,DS5_Erlotinib,1.523561956
X20120612,G06,DS5,122.61,92,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.523561956,DS5_Erlotinib,1.523561956
X20120612,G06,DS5,123.615,90,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.491853096,DS5_Erlotinib,1.491853096
X20120612,G06,DS5,124.62,95,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.569855608,DS5_Erlotinib,1.569855608
X20120612,G06,DS5,125.625,93,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.539158811,DS5_Erlotinib,1.539158811
X20120612,G06,DS5,126.63,93,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.539158811,DS5_Erlotinib,1.539158811
X20120612,G06,DS5,127.635,89,Erlotinib,3,DS5_X20120612_Erlotinib_G06,6.475733431,DS5_Erlotinib,1.475733431
X20120612,G06,DS5,128.64,94,Erlotinib,1,DS5_X20120612_Erlotinib_G06,6.554588852,DS5_Erlotinib,1.554588852
X20120612,G06,DS5,129.645,88,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.459431619,DS5_Erlotinib,1.459431619
X20120612,G06,DS5,130.65,88,Erlotinib,5,DS5_X20120612_Erlotinib_G06,6.459431619,DS5_Erlotinib,1.459431619
X20120612,G06,DS5,131.655,94,Erlotinib,2,DS5_X20120612_Erlotinib_G06,6.554588852,DS5_Erlotinib,1.554588852
